,Prices
2020-10-31,10.1
2020-11-01,10.106666666666666
2020-11-02,10.113333333333333
2020-11-03,10.12
2020-11-04,10.126666666666667
2020-11-05,10.133333333333333
2020-11-06,10.14
2020-11-07,10.146666666666667
2020-11-08,10.153333333333332
2020-11-09,10.16
2020-11-10,10.166666666666666
2020-11-11,10.173333333333334
2020-11-12,10.18
2020-11-13,10.186666666666667
2020-11-14,10.193333333333333
2020-11-15,10.2
2020-11-16,10.206666666666667
2020-11-17,10.213333333333333
2020-11-18,10.22
2020-11-19,10.226666666666667
2020-11-20,10.233333333333334
2020-11-21,10.24
2020-11-22,10.246666666666668
2020-11-23,10.253333333333334
2020-11-24,10.26
2020-11-25,10.266666666666667
2020-11-26,10.273333333333333
2020-11-27,10.280000000000001
2020-11-28,10.286666666666667
2020-11-29,10.293333333333335
2020-11-30,10.3
2020-12-01,10.322580645161292
2020-12-02,10.345161290322581
2020-12-03,10.367741935483872
2020-12-04,10.390322580645162
2020-12-05,10.412903225806453
2020-12-06,10.435483870967742
2020-12-07,10.458064516129033
2020-12-08,10.480645161290322
2020-12-09,10.503225806451614
2020-12-10,10.525806451612903
2020-12-11,10.548387096774194
2020-12-12,10.570967741935485
2020-12-13,10.593548387096774
2020-12-14,10.616129032258065
2020-12-15,10.638709677419355
2020-12-16,10.661290322580646
2020-12-17,10.683870967741935
2020-12-18,10.706451612903226
2020-12-19,10.729032258064516
2020-12-20,10.751612903225807
2020-12-21,10.774193548387098
2020-12-22,10.796774193548387
2020-12-23,10.819354838709678
2020-12-24,10.841935483870968
2020-12-25,10.864516129032259
2020-12-26,10.887096774193548
2020-12-27,10.90967741935484
2020-12-28,10.932258064516128
2020-12-29,10.95483870967742
2020-12-30,10.977419354838709
2020-12-31,11.0
2021-01-01,10.996774193548386
2021-01-02,10.993548387096775
2021-01-03,10.990322580645161
2021-01-04,10.987096774193548
2021-01-05,10.983870967741936
2021-01-06,10.980645161290322
2021-01-07,10.977419354838709
2021-01-08,10.974193548387097
2021-01-09,10.970967741935484
2021-01-10,10.967741935483872
2021-01-11,10.964516129032258
2021-01-12,10.961290322580645
2021-01-13,10.958064516129033
2021-01-14,10.95483870967742
2021-01-15,10.951612903225806
2021-01-16,10.948387096774194
2021-01-17,10.94516129032258
2021-01-18,10.941935483870967
2021-01-19,10.938709677419356
2021-01-20,10.935483870967742
2021-01-21,10.932258064516128
2021-01-22,10.929032258064517
2021-01-23,10.925806451612903
2021-01-24,10.922580645161291
2021-01-25,10.919354838709678
2021-01-26,10.916129032258064
2021-01-27,10.912903225806453
2021-01-28,10.90967741935484
2021-01-29,10.906451612903226
2021-01-30,10.903225806451614
2021-01-31,10.9
2021-02-01,10.9
2021-02-02,10.9
2021-02-03,10.9
2021-02-04,10.9
2021-02-05,10.9
2021-02-06,10.9
2021-02-07,10.9
2021-02-08,10.9
2021-02-09,10.9
2021-02-10,10.9
2021-02-11,10.9
2021-02-12,10.9
2021-02-13,10.9
2021-02-14,10.9
2021-02-15,10.9
2021-02-16,10.9
2021-02-17,10.9
2021-02-18,10.9
2021-02-19,10.9
2021-02-20,10.9
2021-02-21,10.9
2021-02-22,10.9
2021-02-23,10.9
2021-02-24,10.9
2021-02-25,10.9
2021-02-26,10.9
2021-02-27,10.9
2021-02-28,10.9
2021-03-01,10.9
2021-03-02,10.9
2021-03-03,10.9
2021-03-04,10.9
2021-03-05,10.9
2021-03-06,10.9
2021-03-07,10.9
2021-03-08,10.9
2021-03-09,10.9
2021-03-10,10.9
2021-03-11,10.9
2021-03-12,10.9
2021-03-13,10.9
2021-03-14,10.9
2021-03-15,10.9
2021-03-16,10.9
2021-03-17,10.9
2021-03-18,10.9
2021-03-19,10.9
2021-03-20,10.9
2021-03-21,10.9
2021-03-22,10.9
2021-03-23,10.9
2021-03-24,10.9
2021-03-25,10.9
2021-03-26,10.9
2021-03-27,10.9
2021-03-28,10.9
2021-03-29,10.9
2021-03-30,10.9
2021-03-31,10.9
2021-04-01,10.883333333333333
2021-04-02,10.866666666666667
2021-04-03,10.85
2021-04-04,10.833333333333334
2021-04-05,10.816666666666666
2021-04-06,10.8
2021-04-07,10.783333333333333
2021-04-08,10.766666666666667
2021-04-09,10.75
2021-04-10,10.733333333333334
2021-04-11,10.716666666666667
2021-04-12,10.700000000000001
2021-04-13,10.683333333333334
2021-04-14,10.666666666666668
2021-04-15,10.65
2021-04-16,10.633333333333333
2021-04-17,10.616666666666667
2021-04-18,10.6
2021-04-19,10.583333333333334
2021-04-20,10.566666666666666
2021-04-21,10.55
2021-04-22,10.533333333333333
2021-04-23,10.516666666666667
2021-04-24,10.5
2021-04-25,10.483333333333334
2021-04-26,10.466666666666667
2021-04-27,10.450000000000001
2021-04-28,10.433333333333334
2021-04-29,10.416666666666668
2021-04-30,10.4
2021-05-01,10.381935483870969
2021-05-02,10.363870967741935
2021-05-03,10.345806451612903
2021-05-04,10.327741935483871
2021-05-05,10.30967741935484
2021-05-06,10.291612903225806
2021-05-07,10.273548387096774
2021-05-08,10.255483870967742
2021-05-09,10.23741935483871
2021-05-10,10.219354838709677
2021-05-11,10.201290322580645
2021-05-12,10.183225806451613
2021-05-13,10.165161290322581
2021-05-14,10.147096774193548
2021-05-15,10.129032258064516
2021-05-16,10.110967741935484
2021-05-17,10.092903225806452
2021-05-18,10.074838709677419
2021-05-19,10.056774193548387
2021-05-20,10.038709677419355
2021-05-21,10.020645161290323
2021-05-22,10.00258064516129
2021-05-23,9.984516129032258
2021-05-24,9.966451612903226
2021-05-25,9.948387096774194
2021-05-26,9.93032258064516
2021-05-27,9.912258064516129
2021-05-28,9.894193548387097
2021-05-29,9.876129032258063
2021-05-30,9.858064516129032
2021-05-31,9.84
2021-06-01,9.845333333333333
2021-06-02,9.850666666666667
2021-06-03,9.856
2021-06-04,9.861333333333333
2021-06-05,9.866666666666667
2021-06-06,9.872
2021-06-07,9.877333333333333
2021-06-08,9.882666666666667
2021-06-09,9.888
2021-06-10,9.893333333333333
2021-06-11,9.898666666666667
2021-06-12,9.904
2021-06-13,9.909333333333333
2021-06-14,9.914666666666667
2021-06-15,9.92
2021-06-16,9.925333333333333
2021-06-17,9.930666666666667
2021-06-18,9.936
2021-06-19,9.941333333333333
2021-06-20,9.946666666666667
2021-06-21,9.952
2021-06-22,9.957333333333333
2021-06-23,9.962666666666667
2021-06-24,9.968
2021-06-25,9.973333333333333
2021-06-26,9.978666666666667
2021-06-27,9.984
2021-06-28,9.989333333333333
2021-06-29,9.994666666666667
2021-06-30,10.0
2021-07-01,10.003225806451614
2021-07-02,10.006451612903225
2021-07-03,10.009677419354839
2021-07-04,10.012903225806452
2021-07-05,10.016129032258064
2021-07-06,10.019354838709678
2021-07-07,10.022580645161291
2021-07-08,10.025806451612903
2021-07-09,10.029032258064516
2021-07-10,10.032258064516128
2021-07-11,10.035483870967742
2021-07-12,10.038709677419355
2021-07-13,10.041935483870967
2021-07-14,10.04516129032258
2021-07-15,10.048387096774194
2021-07-16,10.051612903225806
2021-07-17,10.05483870967742
2021-07-18,10.058064516129033
2021-07-19,10.061290322580644
2021-07-20,10.064516129032258
2021-07-21,10.067741935483872
2021-07-22,10.070967741935483
2021-07-23,10.074193548387097
2021-07-24,10.077419354838709
2021-07-25,10.080645161290322
2021-07-26,10.083870967741936
2021-07-27,10.087096774193547
2021-07-28,10.09032258064516
2021-07-29,10.093548387096774
2021-07-30,10.096774193548386
2021-07-31,10.1
2021-08-01,10.106451612903225
2021-08-02,10.112903225806452
2021-08-03,10.119354838709677
2021-08-04,10.125806451612902
